date,source,title,address,borough,developers,url
2025-11-04,DOB NOW: Build – Approved Permits,Structural,7 STREET,BROOKLYN,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Structural,PACIFIC STREET,BROOKLYN,HOUSES R US NYC LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,PARK AVENUE,MANHATTAN,AMAN KAUR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Foundation,131 STREET,QUEENS,EMPIRE & R GENERAL CONS I,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,FENIMORE STREET,BROOKLYN,BRISCO BUILDERS INC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Foundation,SHORE FRONT PARKWAY,QUEENS,NYC PARKS & RECREATION,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,90 STREET,QUEENS,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Structural,130 AVENUE,QUEENS,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Structural,ZEPHYR AVENUE,STATEN ISLAND,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,LEXINGTON AVENUE,MANHATTAN,BOSTON PROPERTIES,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Structural,AMSTERDAM AVENUE,MANHATTAN,ESSEX CAPITAL PARTNERS,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,WOOD AVENUE,STATEN ISLAND,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Foundation,90 STREET,QUEENS,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Construction Fence,38 STREET,QUEENS,HARMAN MANAGEMENT,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,ADELPHI STREET,BROOKLYN,N/A,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Structural,PERSHING CRESCENT,QUEENS,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,12 AVENUE,BROOKLYN,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,WEST  104 STREET,MANHATTAN,cocina consuelo llc,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,POST AVENUE,MANHATTAN,Coney Realty & Management,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,WEST  108 STREET,MANHATTAN,DOUGLAS ELLIMAN,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,OCEAN TERRACE,STATEN ISLAND,NYC SCHOOL CONSTRUCTION AUTHORITY,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,Structural,HYLAN BOULEVARD,STATEN ISLAND,"ALBERT KRULL, ARCHITECT, AIA",https://data.cityofnewyork.us/resource/rbx6-tga4.json
2025-11-04,DOB NOW: Build – Approved Permits,General Construction,31 STREET,QUEENS,2468 LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
