date,source,title,address,borough,developers,url
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,ARTHUR AVENUE,BRONX,Hart group Usa LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,MIDWOOD STREET,BROOKLYN,MS INVESTMENTS 3 LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,GATEWAY DRIVE,BROOKLYN,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,SOUTH AVENUE,STATEN ISLAND,CAMBRIDGE REMODELING CORP,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,WEST  143 STREET,MANHATTAN,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,FOUNTAIN AVENUE,BROOKLYN,NYC SCHOOL CONSTRUCTION AUTHORITY,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,EAST   17 STREET,MANHATTAN,Omar Saad,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,SEDGWICK AVENUE,BRONX,M RAPAPORT,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,HOLDEN BOULEVARD,STATEN ISLAND,HOMEOWNER,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,HARLEM RIVER DRIVE,MANHATTAN,NEW YORK CITY HOUSING AUTHORITY,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,OCEAN PARKWAY,BROOKLYN,ROCKLYN ASSET CORP,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Full Demolition,147 PLACE,QUEENS,9524 147 PL LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Foundation,264 STREET,QUEENS,N/A,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,LACOMBE AVENUE,BRONX,Zubaer Chowdhury,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Construction Fence,WEST  167 STREET,BRONX,SKY HOME GROUP,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Foundation,NEPTUNE AVENUE,BROOKLYN,NYC SCHOOL CONSTRUCTION AUTHORITY,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Full Demolition,41 STREET,QUEENS,DOMAIN 41ST STREET SITE B LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,62 STREET,BROOKLYN,CHAIM FISHMAN AND ASSOCIATES.COM,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,EAST   49 STREET,MANHATTAN,KATO KAGAKU CO LTC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Full Demolition,BAYARD STREET,BROOKLYN,143 BAYARD DEVELOPMENTS LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,215 STREET,QUEENS,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,WEST  139 STREET,MANHATTAN,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,EAST  223 STREET,BRONX,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,WATER STREET,MANHATTAN,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Full Demolition,DELAWARE AVENUE,QUEENS,N/A,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,12 ROAD,QUEENS,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,WEST   11 STREET,MANHATTAN,"30 West 11th Street, LLC",https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,ARTHUR AVENUE,BRONX,Hart group Usa LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,SENATOR STREET,BROOKLYN,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,EAST   29 STREET,BROOKLYN,130 Clarkson Realty LLC,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Foundation,WETMORE ROAD,STATEN ISLAND,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,134 ROAD,QUEENS,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Foundation,ANDERSON AVENUE,BRONX,NYC SCA,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,EAST  117 STREET,MANHATTAN,NEW YORK CITY HOUSING AUTHORITY,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Foundation,13 AVENUE,BROOKLYN,GREENLINE BLDG CONSULTANTS,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,97 AVENUE,QUEENS,N/A,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,UNION STREET,BROOKLYN,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Foundation,134 ROAD,QUEENS,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Foundation,EAST 223 STREET,BRONX,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,EAST   90 STREET,MANHATTAN,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Full Demolition,243 STREET,QUEENS,MEDALLION CONSTRUCTION CORP,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,GREENWICH STREET,MANHATTAN,RYCO CAPITAL,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,COLLISTER STREET,MANHATTAN,Erica Lerner,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,WEST  181 STREET,MANHATTAN,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,EAST   89 STREET,MANHATTAN,PR,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Structural,COMMONWEALTH BOULEVARD,QUEENS,NYC SCHOOL CONSTRUCTION,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,EAST    4 STREET,BROOKLYN,KINGS AND QUEENS MAINTENANCE SRVS,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,General Construction,54 STREET,BROOKLYN,Not Applicable,https://data.cityofnewyork.us/resource/rbx6-tga4.json
2026-06-07,DOB NOW: Build – Approved Permits,Foundation,COLUMBUS AVENUE,MANHATTAN,"APERTURE FOUNDATION, INC.",https://data.cityofnewyork.us/resource/rbx6-tga4.json
